"Records of Additional expenses * dated *","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Accumulation register ""Incoming VAT"" (1)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Standard attributes.","","Dimensions","","","Resources","","Attributes","","","","","","","","","","","","","","","","","","","","",""
"Activity","Period","Company","Document","VAT %","Amount no VAT","VAT","World country","Tax number","Tax date","","","","","","","","","","","","","","","","","","",""
"True","*","Vendor VAT non payer","Additional expenses * dated *","378302 / 0%","1 000,00","","ROMANIA","*","*","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Accumulation register ""Purchases indicators"" (1)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Standard attributes.","","Dimensions","","","","Resources","","","","","","","","","","","","","","","","","","","","","",""
"Activity","Period","Company","Products","Location","Document","Amount FC","Amount RC","Quantity","","","","","","","","","","","","","","","","","","","",""
"True","*","Vendor VAT non payer","Good quantitative","Depozit principal","Additional expenses * dated *","","1 000,00","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Accumulation register ""Report VAT 394"" (1)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Standard attributes.","","Dimensions","","","","","","","","Resources","","","","","","","","","","","","","","","","","",""
"Activity","Period","Company","Section","Operation type","Type simple operation","Type doc non VAT supplier","Special regime product category","VAT %","Autobilling","Amount no VAT","VAT","","","","","","","","","","","","","","","","",""
"True","*","Vendor VAT non payer","D","Achizitii de bunuri/servicii pt care au fost primite facturi/borderouri\n de achizitii/ file din carnete de comercializare de la persoane neinregistrate","","","","378302 / 0%","False","1 000,00","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Information register ""D406 sales and purchases data"" (1)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Standard attributes.","Dimensions","","","","Resources","","","","","","","","","","","","","","","","","","","","","","",""
"Activity","Turnover type","Date","Transaction ID","Transaction line ID","Invoice no","Counterparty ID","Name","Country","City","Postal code","Account ID","Invoice date","Invoice type","Self billing indicator","Quantity","Unit price","Tax point date","Description","Amount","Currency code","Currency amount","Debit credit indicator","Tax type","Tax code","Tax amount","Tax currency code","Tax currency amount","Line account ID"
"True","Purchase","19.06.2024","*","1.1","*","2496892","Vendor VAT non payer","RO","Argeş","","401 ","*","380","0","1,000","1 000,0","* ","Services received for Good quantitative","1 000,00","946","1 000,00","C","301","378302","","946","","371 "
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Accounting register ""General journal"" (1)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Activity","Account Dr","Extra dimension Dr 1","Amount FCY Dr","Account Cr","Extra dimension Cr 1","Amount FCY Cr","Amount","Memo","Related document","Recorder ID","","","","","","","","","","","","","","","","","",""
"Period","Currency Dr","Extra dimension Dr 2","Quantity UM Dr","Currency Cr","Extra dimension Cr 2","Quantity UM Cr","","","","","","","","","","","","","","","","","","","","","",""
"","","Extra dimension Dr 3","","","Extra dimension Cr 3","","","","","","","","","","","","","","","","","","","","","","",""
"True","371.1  Mărfuri cantitativ","Depozit principal","","401.1  Furnizori","Vendor VAT non payer","","1 000,00","Corectie cost la :Mărfuri cantitativ","","*","","","","","","","","","","","","","","","","","",""
"*","","Good quantitative","","","Vendor VAT non payer Contract Nr.  from ","","","","","","","","","","","","","","","","","","","","","","",""
"","","Purchase Invoice * dated *","","","Additional expenses * dated *","","","","","","","","","","","","","","","","","","","","","","",""
