"Ref","DeletionMark","Code","Description","AssetsType","Account","AccountForAmortization"
"e1cib/data/Catalog.TypeOfIntangibleOrTangibileAssets?refName=FormationExpenses","False","01","Cheltuieli de constituire","Enum.AssetsType.Intangible","e1cib/data/ChartOfAccounts.ChartOfAccounts?refName=_201_1","e1cib/data/ChartOfAccounts.ChartOfAccounts?refName=_280_1"
"e1cib/data/Catalog.TypeOfIntangibleOrTangibileAssets?refName=DevelopmentExpenses","False","02","Cheltuieli de dezvoltare","Enum.AssetsType.Intangible","e1cib/data/ChartOfAccounts.ChartOfAccounts?refName=_203_1","e1cib/data/ChartOfAccounts.ChartOfAccounts?refName=_280_3"
"e1cib/data/Catalog.TypeOfIntangibleOrTangibileAssets?refName=ConcessionsPatentsLicensesTrademarksAndOtherSimilaRightAndValues","False","03","Concesiuni, brevete, licențe, mărci comerciale și alte drepturi și valori similare achiziționate","Enum.AssetsType.Intangible","e1cib/data/ChartOfAccounts.ChartOfAccounts?refName=_205_1","e1cib/data/ChartOfAccounts.ChartOfAccounts?refName=_280_5"
"e1cib/data/Catalog.TypeOfIntangibleOrTangibileAssets?refName=IntangibleAssetsForExplorationAndEvaluationOfMineralResources","False","05","Active necorporale de explorare si evaluare a resurselor minerale","Enum.AssetsType.Intangible","e1cib/data/ChartOfAccounts.ChartOfAccounts?refName=_206_1","e1cib/data/ChartOfAccounts.ChartOfAccounts?refName=_280_6"
"e1cib/data/Catalog.TypeOfIntangibleOrTangibileAssets?refName=PositiveCommercialSubstance","False","06","Fond comercial pozitiv","Enum.AssetsType.Intangible","e1cib/data/ChartOfAccounts.ChartOfAccounts?refName=_207_1","e1cib/data/ChartOfAccounts.ChartOfAccounts?refName=_280_7"
"e1cib/data/Catalog.TypeOfIntangibleOrTangibileAssets?refName=NegativeComercialSubstance","False","07","Fond comercial negativ","Enum.AssetsType.Intangible","e1cib/data/ChartOfAccounts.ChartOfAccounts?refName=_207_5","e1cib/data/ChartOfAccounts.ChartOfAccounts?refName=_280_7"
"e1cib/data/Catalog.TypeOfIntangibleOrTangibileAssets?refName=OtherIntangibleAssets","False","08","Alte imobilizări necorporale","Enum.AssetsType.Intangible","e1cib/data/ChartOfAccounts.ChartOfAccounts?refName=_208_1","e1cib/data/ChartOfAccounts.ChartOfAccounts?refName=_280_8"
"e1cib/data/Catalog.TypeOfIntangibleOrTangibileAssets?refName=Lands","False","09","Terenuri","Enum.AssetsType.Tangibile","e1cib/data/ChartOfAccounts.ChartOfAccounts?refName=_211_1","e1cib/data/ChartOfAccounts.ChartOfAccounts?refName=_281_1"
"e1cib/data/Catalog.TypeOfIntangibleOrTangibileAssets?refName=LandsImprovements","False","10","Amenajări de terenuri","Enum.AssetsType.Tangibile","e1cib/data/ChartOfAccounts.ChartOfAccounts?refName=_211_2","e1cib/data/ChartOfAccounts.ChartOfAccounts?refName=_281_1"
"e1cib/data/Catalog.TypeOfIntangibleOrTangibileAssets?refName=Constructions","False","11","Construcții","Enum.AssetsType.Tangibile","e1cib/data/ChartOfAccounts.ChartOfAccounts?refName=_212_1","e1cib/data/ChartOfAccounts.ChartOfAccounts?refName=_281_2"
"e1cib/data/Catalog.TypeOfIntangibleOrTangibileAssets?refName=EquipmentMachineryAndInstallationWork","False","12","Echipamente tehnologice (mașini, utilaje și instalații de lucru)","Enum.AssetsType.Tangibile","e1cib/data/ChartOfAccounts.ChartOfAccounts?refName=_213_1","e1cib/data/ChartOfAccounts.ChartOfAccounts?refName=_281_3"
"e1cib/data/Catalog.TypeOfIntangibleOrTangibileAssets?refName=DevicesAndSystemsForMeasuringControlAndRegulating","False","13","Aparate și instalații de măsurare, control și reglare","Enum.AssetsType.Tangibile","e1cib/data/ChartOfAccounts.ChartOfAccounts?refName=_213_2","e1cib/data/ChartOfAccounts.ChartOfAccounts?refName=_281_3"
"e1cib/data/Catalog.TypeOfIntangibleOrTangibileAssets?refName=Transport","False","14","Mijloace de transport","Enum.AssetsType.Tangibile","e1cib/data/ChartOfAccounts.ChartOfAccounts?refName=_213_3","e1cib/data/ChartOfAccounts.ChartOfAccounts?refName=_281_3"
"e1cib/data/Catalog.TypeOfIntangibleOrTangibileAssets?refName=FurnitureOfficeEquipmentEquipmentForTheProtectionOfHumanAndMaterialValuesAndOtherAssets","False","16","Mobilier, aparatură birotică, echipamente de protecție a valorilor umane și materiale și alte active","Enum.AssetsType.Tangibile","e1cib/data/ChartOfAccounts.ChartOfAccounts?refName=_214_1","e1cib/data/ChartOfAccounts.ChartOfAccounts?refName=_281_4"
"e1cib/data/Catalog.TypeOfIntangibleOrTangibileAssets?refName=RealEstateInvestments","False","17","Investitii imobiliare","Enum.AssetsType.Tangibile","e1cib/data/ChartOfAccounts.ChartOfAccounts?refName=_215_1","e1cib/data/ChartOfAccounts.ChartOfAccounts?refName=_281_5"
"e1cib/data/Catalog.TypeOfIntangibleOrTangibileAssets?refName=TangibleAssetsForExplorationAndEvaluationOfMineralResources","False","18","Active corporale de explorare si evaluare a resurselor minerale","Enum.AssetsType.Tangibile","e1cib/data/ChartOfAccounts.ChartOfAccounts?refName=_216_1","e1cib/data/ChartOfAccounts.ChartOfAccounts?refName=_281_6"
"e1cib/data/Catalog.TypeOfIntangibleOrTangibileAssets?refName=ProductiveBiologicalAssets","False","19","Active biologice productive","Enum.AssetsType.Tangibile","e1cib/data/ChartOfAccounts.ChartOfAccounts?refName=_217_1","e1cib/data/ChartOfAccounts.ChartOfAccounts?refName=_281_7"
